Ship code,Ship name,Speed (knots),Tonnage,Capacity (number of containers that can be carried)
A,Angela,25,9000,500
B,Bernice,17,8100,450
C,Camille,25,5400,300
D,Dianne,29,7200,400
E,Elvira,22,9000,500
F,Fleur,20,4500,250
G,Gemma,29,7200,400
H,Harriette,29,7200,400
I,Isobel,24,1440,80
J,Jenna,22,1800,100
K,Karla,20,4500,250
L,Laura,20,4500,250
M,Monica,26,8100,450
N,Natalie,27,2700,150
O,Olive,14,9000,500
P,Philippa,27,2700,150
Q,Queenie,15,3600,200
R,Rose,18,8100,450
S,Sharon,18,8100,450
T,Tracy,20,4500,250
U,Ulyssess,27,2700,150
V,Verna,22,9000,500
W,Watermaid,22,9000,500
X,Xenon,29,7200,400
Y,Yolande,15,3600,200
Z,Zafira,15,3600,200
