,,,Distance  (nautical miles) to:,,,,,,,,,
Port code,Port name,Customs closed on,A,C,D,F,N,P,S,T,W,Z
A,Alfrezzi,,-,1600,700,1100,800,1200,2000,1800,1600,1700
C,Contolleni,,1600,-,2000,500,1300,2500,2400,1900,2300,1200
D,Dolumbo,Saturday,700,2000,-,1500,1400,500,1700,1800,800,2000
F,Fingapoor,,1100,500,1500,-,800,2000,1800,1400,1500,800
N,Negembe,,800,1300,1400,800,-,1900,2200,2000,1700,1600
P,Port Peppard,Sunday,1200,2500,500,2000,1900,-,2100,2300,1300,2500
S,Snydey,Sunday,2000,2400,1700,1800,2200,2100,-,400,800,1400
T,Tawara,,1800,1900,1800,1400,2000,2300,400,-,1100,900
W,Watertown,Saturday,1600,2300,800,1500,1700,1300,800,1100,-,1500
Z,Fingagwa,Saturday,1700,1200,2000,800,1600,2500,1400,900,1500,-
,,,,,,,,,,,,
Sunday,1,,,,,,,,,,,
Monday,2,,,,,,,,,,,
Tuesday,3,,,,,,,,,,,
Wednesday,4,,,,,,,,,,,
Thursday,5,,,,,,,,,,,
Friday,6,,,,,,,,,,,
Saturday,7,,,,,,,,,,,
